Condition,Device,ASL_mean,Percentage of Speech_mean,Duration_mean,SNR_mean
Campus,AirPods,-24.714435618455987,0.8242880941541444,12.997974603174603,39.29983284760587
Campus,Headset (Sennheiser PXC 550),-34.526049002601795,0.8478161747504581,12.878627146096534,49.48440739545115
Campus,Smartphone (iPhone 11 Pro),-21.984831980522177,0.9179665824441461,12.93985185185185,51.888978390496774
In front of MAR,AirPods,-24.69814078840769,0.8025507697073717,13.422933106575965,38.69728438934258
In front of MAR,Headset (Sennheiser PXC 550),-38.83196386379807,0.8421175406869554,12.823771946873988,80.9240278412263
In front of MAR,Smartphone (iPhone 11 Pro),-18.406189109759268,0.9571733705647888,12.91391882086168,51.78485651306928
In the lab TV noise,AirPods,-26.36580188752138,0.7920583300054259,15.500595616024187,40.30021157292265
In the lab TV noise,Headset (Sennheiser PXC 550),-45.72462112648745,0.783147031987272,15.223658049886621,64.16507337968618
In the lab TV noise,Laptop (Lenovo ThinkPad X1 Carbon),-17.559752921167156,0.7376095710184319,14.800357520786092,39.05179660132129
In the lab TV noise,Smartphone (iPhone 11 Pro),-24.844347748712526,0.8975497057453369,13.855785552316163,63.355596378984465
In the lab doors/windows closed,AirPods,-28.271973933824224,0.7703037891026291,14.729191232048375,40.98258294819373
In the lab doors/windows closed,Headset (Sennheiser PXC 550),-35.65592758430162,0.7712342152621956,15.970721088435374,67.75987742914978
In the lab doors/windows closed,Laptop (Lenovo ThinkPad X1 Carbon),-18.786145697764702,0.7691119997178862,15.573941690962098,41.621970748463795
In the lab doors/windows closed,Smartphone (iPhone 11 Pro),-25.432485982334924,0.8239557179107843,14.596265873015872,49.67073965232952
In the lab office,AirPods,-26.811020689808405,0.814585744800484,14.531488435374149,41.06535262394735
In the lab office,Headset (Sennheiser PXC 550),-40.63035392635689,0.7628707862689951,14.585599395313682,64.83520641137362
In the lab office,Laptop (Lenovo ThinkPad X1 Carbon),-22.824664788765734,0.6885225526832122,14.857599773242631,38.362215138631896
In the lab office,Smartphone (iPhone 11 Pro),-23.48312541986549,0.9636531032494127,13.218133030990174,75.43672787971323
In the lab open door,AirPods,-30.825184961517774,0.6908067683912836,14.649014361300077,40.225934859692124
In the lab open door,Headset (Sennheiser PXC 550),-40.846684647424375,0.761273501086659,15.132781859410432,67.76322952619218
In the lab open door,Laptop (Lenovo ThinkPad X1 Carbon),-17.891082201562924,0.7615867268996817,14.262612244897959,41.46602955686614
In the lab open door,Smartphone (iPhone 11 Pro),-26.104646806839945,0.8684677316545052,13.081066326530612,57.15963847930817
In the lab open windows,AirPods,-26.220135887408873,0.8049854842591515,13.49977664399093,44.71097776466952
In the lab open windows,Headset (Sennheiser PXC 550),-40.17096305720004,0.7624795144905473,14.21936507936508,73.35262124019592
In the lab open windows,Laptop (Lenovo ThinkPad X1 Carbon),-19.88334564316274,0.7380155643755772,14.980265558075082,40.028258487438315
In the lab open windows,Smartphone (iPhone 11 Pro),-23.769300079027325,0.9053651198584272,14.21724187452759,60.98147784835496
Mensa,AirPods,-27.500425243634627,0.7625416148078087,14.168743764172337,41.97490893145988
Mensa,Headset (Sennheiser PXC 550),-39.6648526775784,0.9059327888531451,14.032001700680272,89.41884999297
Mensa,Smartphone (iPhone 11 Pro),-21.260763576508424,0.9319498587260518,13.308801020408163,57.49992734141428
U-Bhf,AirPods,-24.40042354300632,0.8346951082689881,12.61909387755102,38.57884448273378
U-Bhf,Headset (Sennheiser PXC 550),-36.46572568533725,0.878688144265665,13.653944282474896,70.40925307736657
U-Bhf,Smartphone (iPhone 11 Pro),-18.361726221679756,0.9491327177983387,13.192058956916101,54.13828461313996
