ParticipantID,DeviceStd,Bandwidth_mode,Bandwidth_mean_rank,Bandwidth_std_rank,n
P00,Smartphone,FB,2.9,1.209610637658599,20
P00,Laptop,FB,4.0,0.0,10
P00,Headphones,,,,0
P00,AirPods,SWB,3.3333333333333335,0.4879500364742666,15
P01,Smartphone,SWB,3.0,0.0,15
P01,Laptop,WB,2.0,0.0,15
P01,Headphones,,,,0
P01,AirPods,NB,1.6,0.9102589898327995,15
P02,Smartphone,FB,3.72,0.45825756949558416,25
P02,Laptop,WB,2.0,0.0,10
P02,Headphones,FB,4.0,0.0,10
P02,AirPods,,,,0
P03,Smartphone,SWB,3.2666666666666666,0.4577377082170635,15
P03,Laptop,WB,2.0,0.0,10
P03,Headphones,,,,0
P03,AirPods,SWB,2.15,1.0894228312566052,20
P04,Smartphone,FB,3.5,0.5270462766947299,10
P04,Laptop,WB,2.0,0.0,5
P04,Headphones,FB,4.0,0.0,30
P04,AirPods,,,,0
P05,Smartphone,FB,3.75,0.4442616583193193,20
P05,Laptop,WB,2.0,0.0,5
P05,Headphones,FB,4.0,0.0,5
P05,AirPods,SWB,3.0,0.0,15
P06,Smartphone,FB,3.7,0.47016234598162726,20
P06,Laptop,WB,2.0,0.0,10
P06,Headphones,,,,0
P06,AirPods,SWB,2.3333333333333335,0.9759000729485333,15
P07,Smartphone,SWB,3.25,0.4442616583193193,20
P07,Laptop,WB,2.0,0.0,5
P07,Headphones,FB,3.6,0.8432740427115679,10
P07,AirPods,SWB,2.0,1.0540925533894598,10
P08,Smartphone,SWB,3.4,0.5163977794943223,10
P08,Laptop,WB,2.0,0.0,10
P08,Headphones,WB,2.6666666666666665,0.9759000729485333,15
P08,AirPods,NB,1.0,0.0,10
P09,Smartphone,FB,4.0,0.0,15
P09,Laptop,WB,2.0,0.0,10
P09,Headphones,FB,4.0,0.0,10
P09,AirPods,SWB,2.0,1.0540925533894598,10
P10,Smartphone,FB,3.85,0.36634754853252327,20
P10,Laptop,,,,0
P10,Headphones,FB,4.0,0.0,15
P10,AirPods,FB,3.5,0.5270462766947299,10
P11,Smartphone,SWB,3.1,0.31622776601683794,10
P11,Laptop,WB,2.0,0.0,5
P11,Headphones,,,,0
P11,AirPods,NB,1.6333333333333333,0.9278574999588488,30
P12,Smartphone,FB,3.6,0.5163977794943223,10
P12,Laptop,WB,2.0,0.0,10
P12,Headphones,FB,4.0,0.0,25
P12,AirPods,,,,0
P13,Smartphone,SWB,3.0,0.0,40
P13,Laptop,WB,2.0,0.0,5
P13,Headphones,,,,0
P13,AirPods,,,,0
P14,Smartphone,SWB,3.0,0.0,15
P14,Laptop,WB,2.0,0.0,10
P14,Headphones,FB,3.9,0.4472135954999581,20
P14,AirPods,,,,0
P15,Smartphone,FB,3.533333333333333,0.5163977794943223,15
P15,Laptop,,,,0
P15,Headphones,FB,4.0,0.0,10
P15,AirPods,SWB,3.0,0.0,20
P16,Smartphone,FB,3.9,0.3077935056255462,20
P16,Laptop,WB,2.0,0.0,5
P16,Headphones,FB,4.0,0.0,20
P16,AirPods,,,,0
P17,Smartphone,FB,3.6,0.5477225575051661,5
P17,Laptop,WB,2.0,0.0,10
P17,Headphones,FB,4.0,0.0,30
P17,AirPods,,,,0
P18,Smartphone,SWB,3.0,0.0,5
P18,Laptop,WB,2.0,0.0,5
P18,Headphones,FB,4.0,0.0,25
P18,AirPods,SWB,3.0,0.0,10
P19,Smartphone,FB,3.966666666666667,0.1825741858350553,30
P19,Laptop,WB,2.0,0.0,10
P19,Headphones,,,,0
P19,AirPods,SWB,3.0,0.0,5
P20,Smartphone,FB,4.0,0.0,15
P20,Laptop,WB,2.0,0.0,5
P20,Headphones,FB,4.0,0.0,25
P20,AirPods,,,,0
