ConditionNr,EMPTY,NB,WB,SWB,FB
1,0,0.09523809523809523,0.3333333333333333,0.13333333333333333,0.4380952380952381
2,0,0.14285714285714285,0.2857142857142857,0.17142857142857143,0.4
3,0,0.14285714285714285,0.38095238095238093,0.17142857142857143,0.3047619047619048
4,0,0.08571428571428572,0.23809523809523808,0.1523809523809524,0.5238095238095238
5,0,0.19047619047619047,0.14285714285714285,0.20952380952380953,0.45714285714285713
6,0,0.0,0.009523809523809525,0.45714285714285713,0.5333333333333333
7,0,0.0,0.05714285714285714,0.4666666666666667,0.47619047619047616
8,0,0.0,0.06666666666666667,0.38095238095238093,0.5523809523809524
9,0,0.0,0.009523809523809525,0.45714285714285713,0.5333333333333333
