ConditionNr,DeviceStd,EMPTY,NB,WB,SWB,FB
1,AirPods,0,0.6666666666666666,0.0,0.0,0.3333333333333333
1,Headphones,0,0.0,0.0,0.0,1.0
1,Laptop,0,0.0,1.0,0.0,0.0
1,Smartphone,0,0.0,0.0,0.35,0.65
2,AirPods,0,0.6666666666666666,0.0,0.3333333333333333,0.0
2,Headphones,0,0.0,0.0,0.0,1.0
2,Laptop,0,0.0,1.0,0.0,0.0
2,Smartphone,0,0.14285714285714285,0.0,0.37142857142857144,0.4857142857142857
3,AirPods,0,0.75,0.0,0.25,0.0
3,Headphones,0,0.0,0.0,0.0,1.0
3,Laptop,0,0.0,0.8888888888888888,0.0,0.1111111111111111
3,Smartphone,0,0.0,0.0,0.43333333333333335,0.5666666666666667
4,AirPods,0,0.6,0.0,0.0,0.4
4,Headphones,0,0.0,0.0,0.0,1.0
4,Laptop,0,0.0,1.0,0.0,0.0
4,Smartphone,0,0.0,0.0,0.4,0.6
5,AirPods,0,0.8,0.0,0.2,0.0
5,Headphones,0,0.0,0.0,0.0,1.0
5,Laptop,0,0.0,0.75,0.0,0.25
5,Smartphone,0,0.0,0.0,0.5666666666666667,0.43333333333333335
6,AirPods,0,0.0,0.0,1.0,0.0
6,Headphones,0,0.0,0.02857142857142857,0.0,0.9714285714285714
6,Smartphone,0,0.0,0.0,0.56,0.44
7,AirPods,0,0.0,0.04,0.96,0.0
7,Headphones,0,0.0,0.14285714285714285,0.0,0.8571428571428571
7,Smartphone,0,0.0,0.0,0.5555555555555556,0.4444444444444444
8,AirPods,0,0.0,0.04,0.96,0.0
8,Headphones,0,0.0,0.17142857142857143,0.0,0.8285714285714286
8,Smartphone,0,0.0,0.0,0.35555555555555557,0.6444444444444445
9,AirPods,0,0.0,0.0,1.0,0.0
9,Headphones,0,0.0,0.025,0.0,0.975
9,Smartphone,0,0.0,0.0,0.575,0.425
