,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,Percentage of Speech,Percentage of Speech,Percentage of Speech,Percentage of Speech,Percentage of Speech,Percentage of Speech,Percentage of Speech,Percentage of Speech,Duration,Duration,Duration,Duration,Duration,Duration,Duration,Duration,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campus,105.0,-26.815143282628195,7.246985457943639,-39.74198968408124,-33.910538315605564,-24.589928455300125,-21.31720982852961,-15.719911163843255,105.0,0.8722787112391068,0.07357927539474332,0.668641320168071,0.8146556719233918,0.8744787875464948,0.9366688587730888,0.9865713011484308,105.0,12.933282366915025,2.879590085437722,6.591995464852608,11.669342403628118,13.52532879818594,15.168004535147393,18.30399092970521,105.0,48.09003912003135,18.127294888306345,30.10434048651767,39.64987866274048,42.11051549157634,47.5342492829759,99.0
In front of MAR,105.0,-26.4132476808481,9.898789200038566,-48.76046910902348,-35.40025057215603,-24.220768945008647,-17.8719023430819,-12.675910590705383,105.0,0.8893695032993364,0.08864628273113193,0.6516106919608108,0.8399651948429926,0.9038219536431948,0.9686503879766564,0.9940456979197844,105.0,12.98082496490659,2.798961784970673,6.208004535147392,11.733333333333333,13.568004535147391,15.103990929705216,17.023990929705214,105.0,59.0050427417451,28.18926522658921,29.158736420026305,37.90425892620557,42.25966441321368,99.0,99.0
In the lab TV noise,105.0,-27.95187919347581,10.931963970516392,-55.54448039134335,-29.002245960974825,-25.519177183847745,-20.10371839217408,-13.823001050402308,105.0,0.8095435960133612,0.10021956859318071,0.5901303296071176,0.739928890842634,0.8115927987119824,0.8674124610506214,0.9884457709665004,105.0,14.68632005183025,3.0847639221004344,7.0613378684807255,13.35467120181406,15.36,16.857687074829933,20.970657596371883,105.0,53.310759803715136,23.65160068006482,27.96355426079744,38.99252866589506,42.469541533388224,50.460413432894526,99.0
In the lab doors/windows closed,105.0,-25.083172014162372,6.506841509837272,-40.2404652192981,-29.5097546038042,-23.43278644782749,-20.327260420482656,-15.048788519342784,105.0,0.7904782740193312,0.06713087733305817,0.5538774946198385,0.7503738472943534,0.7911113466667468,0.8331675683821441,0.9427890765643276,105.0,15.137497894395851,3.2414947846895483,7.722675736961452,13.885532879818594,15.743990929705216,17.151995464852607,22.08,105.0,48.330813980472044,18.615821469495057,34.98860340953448,39.58251389531972,41.11067854554239,45.032876757764974,99.0
In the lab office,105.0,-29.04926850863998,8.680372951376155,-50.49593373721689,-36.369489086663165,-26.728732834496224,-22.482258906387457,-16.62077605012248,105.0,0.8183886796117009,0.12530099503545333,0.4973506838196323,0.7225458470892829,0.8161955481111565,0.9415231853074228,0.99312950793932,105.0,14.23382075369831,3.0607017855905454,7.445328798185941,13.12,14.656009070294784,16.170657596371882,20.92800453514739,105.0,57.1622490200374,25.934078953031154,31.070464424155816,38.33883240113372,42.6785583161021,99.0,99.0
In the lab open door,105.0,-28.333407789724248,8.884834951903466,-45.32451227971844,-36.48250630657469,-27.35419113757378,-18.598112254225136,-16.09535880555502,105.0,0.7921172999210284,0.09573662075538242,0.561675486083485,0.7150920842567262,0.7992640277568082,0.8694128069158523,0.9663552645491787,105.0,14.074883057985105,3.155178595423094,7.1466666666666665,12.608004535147392,14.528004535147392,16.191995464852607,21.58934240362812,105.0,53.52862894423016,22.478301654840845,35.384518429056165,40.63989760310346,43.43605684040523,49.75030032267712,99.0
In the lab open windows,105.0,-24.13278004412687,7.525741352447354,-46.3533655574163,-27.46536779127364,-23.4313688991392,-17.56724893199828,-13.284716484523935,105.0,0.8009157983118316,0.09656836574845207,0.5747781773610257,0.7336912241115068,0.7962301288094794,0.8692601209911969,0.9876001911891836,105.0,14.407794190692147,3.073189810670663,7.338662131519274,13.056009070294785,15.210657596371885,16.448004535147394,20.501337868480725,105.0,50.08058795314972,20.460659114702057,36.12615211074024,39.00269377710761,41.763543816083526,46.18318667503317,99.0
Mensa,105.0,-29.757478869088935,8.971408151471701,-51.84350893893366,-37.25359482826362,-27.43821826617104,-22.52154122190772,-16.031463726766557,105.0,0.8817032978415538,0.0857817776667541,0.6409622929964284,0.8088603872239764,0.915374000216122,0.9516288768711932,0.991683711679089,105.0,13.789054313789,3.1113655400762075,6.976009070294785,12.11732426303855,14.35732426303855,15.91467120181406,20.031995464852606,105.0,65.96308396820827,27.839131655340886,36.81638600939255,41.02000477517134,47.73857386569592,99.0,99.0
U-Bhf,105.0,-25.834177786071923,8.433372971432854,-44.010868777795935,-33.59204319311821,-24.166970063765664,-17.875140791240998,-15.447253577454124,105.0,0.8984041433995069,0.07890964710438658,0.6343411295535275,0.8600281813357684,0.9099884964929787,0.9576856474500972,0.9921868093929932,105.0,13.209600475110678,2.924218503546024,6.656009070294784,12.010657596371882,13.909342403628118,15.231995464852607,19.093333333333334,105.0,55.85731216540451,26.368206533680087,34.10306453152156,37.64995152400791,41.26087445202698,99.0,99.0
