Condition,ASL,Percentage of Speech,Duration,SNR
Campus,-26.815143282628195,0.8722787112391068,12.93328236691502,48.09003912003135
In front of MAR,-26.41324768084809,0.8893695032993363,12.980824964906597,59.00504274174511
In the lab TV noise,-27.95187919347581,0.8095435960133613,14.686320051830256,53.310759803715136
In the lab doors/windows closed,-25.083172014162376,0.7904782740193311,15.137497894395853,48.330813980472065
In the lab office,-29.049268508639965,0.8183886796117007,14.233820753698303,57.1622490200374
In the lab open door,-28.333407789724255,0.7921172999210283,14.0748830579851,53.52862894423016
In the lab open windows,-24.132780044126868,0.8009157983118312,14.40779419069215,50.080587953149745
Mensa,-29.757478869088942,0.8817032978415533,13.789054313789007,65.96308396820827
U-Bhf,-25.83417778607191,0.8984041433995068,13.20960047511068,55.8573121654045
