ConditionNr,ASL,SNR,Speech Percentage,Duration
1,-25.083172014162376,48.330813980472065,0.7904782740193311,15.137497894395853
2,-27.95187919347581,53.310759803715136,0.8095435960133613,14.686320051830256
3,-24.132780044126868,50.080587953149745,0.8009157983118312,14.40779419069215
4,-28.333407789724255,53.52862894423016,0.7921172999210283,14.0748830579851
5,-29.049268508639965,57.1622490200374,0.8183886796117007,14.233820753698303
6,-26.41324768084809,59.00504274174511,0.8893695032993363,12.980824964906597
7,-26.815143282628195,48.09003912003135,0.8722787112391068,12.93328236691502
8,-25.83417778607191,55.8573121654045,0.8984041433995068,13.20960047511068
9,-29.757478869088942,65.96308396820827,0.8817032978415533,13.789054313789007
