Dataset,DatasetLabel,DeviceGroup,Metric,MetricLabel,N,Mean,SD,Median,Q1,Q3,IQR
Supervised,Simulation CS,Smartphone,ASL,ASL,355.0,-22.351958775735508,4.788521206209155,-22.067037043294743,-25.618236019418124,-18.350466118581945,7.2677699008361785
Supervised,Simulation CS,Smartphone,Duration,Duration,355.0,13.434059148542046,3.037444908817272,13.951995464852608,11.914659863945579,15.466666666666669,3.55200680272109
Supervised,Simulation CS,Smartphone,SpeechPercentage,Speech activity factor,355.0,91.36277627186672,7.12146239955162,93.16798519883275,87.13566126356486,97.24703807162018,10.111376808055326
Supervised,Simulation CS,Smartphone,Loudness,Loudness (LUFS),355.0,-22.469855358980986,4.767560075240205,-22.114402878357755,-25.5830708902175,-18.462689116064322,7.120381774153177
Supervised,Simulation CS,Laptop,ASL,ASL,155.0,-19.24405543105478,4.769927855290758,-17.677197671074502,-20.116506871566557,-16.864615293256694,3.2518915783098628
Supervised,Simulation CS,Laptop,Duration,Duration,155.0,14.947922171018945,3.0535621288743235,15.551995464852608,13.695997732426303,16.96,3.264002267573698
Supervised,Simulation CS,Laptop,SpeechPercentage,Speech activity factor,155.0,74.23743660886208,7.369339542135649,74.95819977011827,69.01879332592915,79.1581236312329,10.139330305303744
Supervised,Simulation CS,Laptop,Loudness,Loudness (LUFS),155.0,-16.65583380386525,4.716785402718916,-15.204594328873734,-17.64108198472172,-14.188381328093797,3.452700656627922
Supervised,Simulation CS,Headset,ASL,ASL,435.0,-33.64628582878363,7.6367499307292706,-34.40076557768564,-39.398481818831044,-26.042286255253607,13.356195563577437
Supervised,Simulation CS,Headset,Duration,Duration,435.0,13.992078765605857,3.1110010235210463,14.591995464852609,12.419342403628118,16.0,3.580657596371882
Supervised,Simulation CS,Headset,SpeechPercentage,Speech activity factor,435.0,81.30575732760835,8.619348805483924,81.55502687318966,76.03708621159006,87.19339850740886,11.156312295818793
Supervised,Simulation CS,Headset,Loudness,Loudness (LUFS),435.0,-33.4757500507686,7.1670462449821155,-33.98789007632799,-38.83632393412485,-26.365344223784305,12.470979710340544
Crowdsourced,General CS,Smartphone,ASL,ASL,315.0,-22.882787301587303,5.572995389720951,-22.742,-25.434,-19.6295,5.804500000000001
Crowdsourced,General CS,Smartphone,Duration,Duration,315.0,14.12693650793651,3.2809728918378807,14.348,12.1795,16.322499999999998,4.142999999999997
Crowdsourced,General CS,Smartphone,SpeechPercentage,Speech activity factor,315.0,84.58317460317461,5.864337003321426,85.5,81.10000000000001,88.5,7.3999999999999915
Crowdsourced,General CS,Smartphone,Loudness,Loudness (LUFS),315.0,-22.371720634920635,5.2224129484855135,-22.08,-24.386000000000003,-19.173000000000002,5.213000000000001
Crowdsourced,General CS,Laptop,ASL,ASL,351.0,-23.306227920227922,2.5801488194988074,-23.291,-24.5065,-22.0765,2.4299999999999997
Crowdsourced,General CS,Laptop,Duration,Duration,351.0,14.419877492877495,3.4761857346942757,14.686,11.843499999999999,16.643,4.799500000000002
Crowdsourced,General CS,Laptop,SpeechPercentage,Speech activity factor,351.0,83.26752136752137,5.834544845411127,84.1,79.9,87.5,7.599999999999994
Crowdsourced,General CS,Laptop,Loudness,Loudness (LUFS),351.0,-22.786712250712252,2.7689985698481174,-22.987,-24.335,-21.563,2.772000000000002
Crowdsourced,General CS,Headset,ASL,ASL,221.0,-25.208696832579182,5.912981484791739,-24.2,-25.557,-22.588,2.9689999999999976
Crowdsourced,General CS,Headset,Duration,Duration,221.0,14.497366515837102,3.5627983966336814,14.415,12.255,16.997,4.741999999999999
Crowdsourced,General CS,Headset,SpeechPercentage,Speech activity factor,221.0,83.90497737556561,6.302786009119978,85.0,80.9,88.1,7.199999999999989
Crowdsourced,General CS,Headset,Loudness,Loudness (LUFS),221.0,-24.461366515837106,5.5201290734712725,-23.544,-25.035,-22.293,2.742000000000001
