ConditionNr,Metric,Supervised_mean,Crowdsourced_mean,Diff(CS-SUP)
1,ASL,-25.0832,-23.2719,1.8112
2,ASL,-27.9519,-24.3808,3.5711
3,ASL,-24.1328,-24.0495,0.0833
4,ASL,-28.3334,-23.1963,5.1371
5,ASL,-29.0493,-23.3182,5.7311
6,ASL,-26.4132,-24.6219,1.7913
7,ASL,-26.8151,-24.8935,1.9216
8,ASL,-25.8342,-22.9948,2.8393
9,ASL,-29.7575,-21.9348,7.8227
1,Speech Percentage,79.0478,83.4620,4.4142
2,Speech Percentage,80.9544,82.5697,1.6153
3,Speech Percentage,80.0916,84.1370,4.0454
4,Speech Percentage,79.2117,83.3710,4.1593
5,Speech Percentage,81.8389,86.8557,5.0168
6,Speech Percentage,88.9370,83.9867,-4.9502
7,Speech Percentage,87.2279,85.3427,-1.8852
8,Speech Percentage,89.8404,86.1021,-3.7383
9,Speech Percentage,88.1703,79.3375,-8.8328
1,Duration,15.1375,14.7834,-0.3541
2,Duration,14.6863,15.2693,0.5830
3,Duration,14.4078,14.0485,-0.3593
4,Duration,14.0749,14.5963,0.5214
5,Duration,14.2338,15.5557,1.3219
6,Duration,12.9808,14.1037,1.1229
7,Duration,12.9333,14.4685,1.5352
8,Duration,13.2096,16.4560,3.2464
9,Duration,13.7891,9.7054,-4.0836
