ConditionNr,Metric,Supervised_N,Supervised_Median,Supervised_Q1,Supervised_Q3,Supervised_IQR,Supervised_Mean,Supervised_SD,Crowdsourced_N,Crowdsourced_Median,Crowdsourced_Q1,Crowdsourced_Q3,Crowdsourced_IQR,Crowdsourced_Mean,Crowdsourced_SD,DiffMedian(CS-SUP),DiffMean(CS-SUP)
1,ASL,105.0000,-23.4328,-29.5098,-20.3273,9.1825,-25.0832,6.5068,100.0000,-23.5330,-25.1730,-21.5565,3.6165,-23.2719,3.0544,-0.1002,1.8112
2,ASL,105.0000,-25.5192,-29.0022,-20.1037,8.8985,-27.9519,10.9320,99.0000,-23.3460,-25.5700,-21.2845,4.2855,-24.3808,6.0847,2.1732,3.5711
3,ASL,105.0000,-23.4314,-27.4654,-17.5672,9.8981,-24.1328,7.5257,100.0000,-23.3030,-24.8627,-21.7203,3.1425,-24.0495,5.8567,0.1284,0.0833
4,ASL,105.0000,-27.3542,-36.4825,-18.5981,17.8844,-28.3334,8.8848,107.0000,-23.4170,-24.7635,-21.1330,3.6305,-23.1963,4.1747,3.9372,5.1371
5,ASL,105.0000,-26.7287,-36.3695,-22.4823,13.8872,-29.0493,8.6804,97.0000,-23.4570,-25.2340,-21.6610,3.5730,-23.3182,3.9134,3.2717,5.7311
6,ASL,105.0000,-24.2208,-35.4003,-17.8719,17.5283,-26.4132,9.8988,98.0000,-23.8775,-25.4090,-22.3777,3.0312,-24.6219,5.5536,0.3433,1.7913
7,ASL,105.0000,-24.5899,-33.9105,-21.3172,12.5933,-26.8151,7.2470,96.0000,-23.9475,-25.4670,-22.8235,2.6435,-24.8935,4.1543,0.6424,1.9216
8,ASL,105.0000,-24.1670,-33.5920,-17.8751,15.7169,-25.8342,8.4334,94.0000,-22.8650,-24.3517,-21.2238,3.1280,-22.9948,5.0722,1.3020,2.8393
9,ASL,105.0000,-27.4382,-37.2536,-22.5215,14.7321,-29.7575,8.9714,96.0000,-22.1905,-24.1765,-19.6045,4.5720,-21.9348,4.0642,5.2477,7.8227
1,Speech activity factor (%),105.0000,79.1111,75.0374,83.3168,8.2794,79.0478,6.7131,100.0000,84.7000,80.4750,87.4000,6.9250,83.4620,5.9077,5.5889,4.4142
2,Speech activity factor (%),105.0000,81.1593,73.9929,86.7412,12.7484,80.9544,10.0220,99.0000,83.7000,78.7000,87.1500,8.4500,82.5697,6.0736,2.5407,1.6153
3,Speech activity factor (%),105.0000,79.6230,73.3691,86.9260,13.5569,80.0916,9.6568,100.0000,84.9500,80.9000,88.3250,7.4250,84.1370,5.3105,5.3270,4.0454
4,Speech activity factor (%),105.0000,79.9264,71.5092,86.9413,15.4321,79.2117,9.5737,107.0000,84.7000,79.7500,87.5500,7.8000,83.3710,6.6464,4.7736,4.1593
5,Speech activity factor (%),105.0000,81.6196,72.2546,94.1523,21.8977,81.8389,12.5301,97.0000,87.2000,84.4000,89.3000,4.9000,86.8557,3.4742,5.5804,5.0168
6,Speech activity factor (%),105.0000,90.3822,83.9965,96.8650,12.8685,88.9370,8.8646,98.0000,85.1000,80.8500,88.0500,7.2000,83.9867,6.5412,-5.2822,-4.9502
7,Speech activity factor (%),105.0000,87.4479,81.4656,93.6669,12.2013,87.2279,7.3579,96.0000,86.0500,81.7500,88.9250,7.1750,85.3427,5.9701,-1.3979,-1.8852
8,Speech activity factor (%),105.0000,90.9988,86.0028,95.7686,9.7657,89.8404,7.8910,94.0000,86.3500,82.6500,89.2000,6.5500,86.1021,4.7270,-4.6488,-3.7383
9,Speech activity factor (%),105.0000,91.5374,80.8860,95.1629,14.2768,88.1703,8.5782,96.0000,80.0500,76.8000,82.3000,5.5000,79.3375,5.3215,-11.4874,-8.8328
1,Recording duration (s),105.0000,15.7440,13.8855,17.1520,3.2665,15.1375,3.2415,100.0000,14.9725,12.8120,16.6472,3.8352,14.7834,3.1413,-0.7715,-0.3541
2,Recording duration (s),105.0000,15.3600,13.3547,16.8577,3.5030,14.6863,3.0848,99.0000,15.6650,13.2590,17.5365,4.2775,15.2693,3.4776,0.3050,0.5830
3,Recording duration (s),105.0000,15.2107,13.0560,16.4480,3.3920,14.4078,3.0732,100.0000,14.2385,12.1372,16.0740,3.9367,14.0484,3.2106,-0.9722,-0.3593
4,Recording duration (s),105.0000,14.5280,12.6080,16.1920,3.5840,14.0749,3.1552,107.0000,14.5870,12.4580,17.0420,4.5840,14.5963,3.3556,0.0590,0.5214
5,Recording duration (s),105.0000,14.6560,13.1200,16.1707,3.0507,14.2338,3.0607,97.0000,15.4110,13.9600,16.4580,2.4980,15.5557,2.1124,0.7550,1.3219
6,Recording duration (s),105.0000,13.5680,11.7333,15.1040,3.3707,12.9808,2.7990,98.0000,14.2885,12.2568,16.2763,4.0195,14.1037,3.2104,0.7205,1.1229
7,Recording duration (s),105.0000,13.5253,11.6693,15.1680,3.4987,12.9333,2.8796,96.0000,14.3485,12.4032,16.6303,4.2270,14.4685,3.5269,0.8232,1.5352
8,Recording duration (s),105.0000,13.9093,12.0107,15.2320,3.2213,13.2096,2.9242,94.0000,16.1540,14.5457,17.9595,3.4138,16.4560,2.3685,2.2447,3.2464
9,Recording duration (s),105.0000,14.3573,12.1173,15.9147,3.7973,13.7891,3.1114,96.0000,9.4285,8.7407,10.5790,1.8383,9.7054,1.3077,-4.9288,-4.0836
