ConditionNr,DeviceComp,Metric,iqr_cs,iqr_sup,median_cs,median_sup,n_cs,n_sup
1,Headset,ASL,3.5755,8.6746,-24.4915,-31.8637,32.0000,6.0000
1,Headset,Duration,4.7037,2.0616,14.2305,15.7753,32.0000,6.0000
1,Headset,SpeechPct,6.5750,5.3717,85.9500,76.4588,32.0000,6.0000
1,Laptop,ASL,3.2712,2.8740,-23.3730,-18.6079,42.0000,7.0000
1,Laptop,Duration,4.9847,1.3333,15.9345,16.9600,42.0000,7.0000
1,Laptop,SpeechPct,6.0250,1.2706,83.7500,78.6499,42.0000,7.0000
1,Smartphone,ASL,4.8865,5.6996,-23.1970,-25.1166,26.0000,8.0000
1,Smartphone,Duration,3.2150,2.4480,14.4495,15.3387,26.0000,8.0000
1,Smartphone,SpeechPct,7.1250,6.1238,85.0000,81.3973,26.0000,8.0000
2,Headset,ASL,4.0275,18.5779,-24.8295,-41.3203,28.0000,8.0000
2,Headset,Duration,2.7095,1.3663,15.3770,15.9877,28.0000,8.0000
2,Headset,SpeechPct,7.6750,7.8775,83.2500,81.1797,28.0000,8.0000
2,Laptop,ASL,2.3652,2.0210,-22.8090,-17.5439,42.0000,6.0000
2,Laptop,Duration,4.7058,2.3093,15.7925,15.5520,42.0000,6.0000
2,Laptop,SpeechPct,9.3750,5.1105,83.0500,73.8678,42.0000,6.0000
2,Smartphone,ASL,7.6910,3.5492,-23.1960,-26.0023,29.0000,7.0000
2,Smartphone,Duration,4.6610,2.5455,15.6820,14.9973,29.0000,7.0000
2,Smartphone,SpeechPct,7.8000,7.3417,86.6000,91.2888,29.0000,7.0000
3,Headset,ASL,2.9650,9.7741,-24.5220,-28.7139,30.0000,6.0000
3,Headset,Duration,4.9682,3.3151,13.4450,14.9769,30.0000,6.0000
3,Headset,SpeechPct,4.2250,2.6300,84.9000,80.1713,30.0000,6.0000
3,Laptop,ASL,2.5008,6.7212,-22.8650,-16.7246,44.0000,9.0000
3,Laptop,Duration,3.8618,0.8960,14.3485,15.5520,44.0000,9.0000
3,Laptop,SpeechPct,7.8000,4.6690,84.7500,75.5949,44.0000,9.0000
3,Smartphone,ASL,3.1015,3.7019,-22.5745,-24.4654,26.0000,6.0000
3,Smartphone,Duration,3.3077,1.0720,14.8545,15.5627,26.0000,6.0000
3,Smartphone,SpeechPct,9.0000,7.1904,86.2000,90.6496,26.0000,6.0000
4,Headset,ASL,2.7490,6.8872,-23.7135,-37.9913,30.0000,8.0000
4,Headset,Duration,5.5280,1.0510,14.5505,15.9208,30.0000,8.0000
4,Headset,SpeechPct,6.2000,12.9963,84.9500,70.7267,30.0000,8.0000
4,Laptop,ASL,2.5935,0.5289,-23.6350,-17.7305,47.0000,5.0000
4,Laptop,Duration,4.2210,2.1973,15.1580,14.9333,47.0000,5.0000
4,Laptop,SpeechPct,7.1500,4.9970,83.6000,78.9346,47.0000,5.0000
4,Smartphone,ASL,7.2580,3.8832,-22.3085,-27.2147,30.0000,8.0000
4,Smartphone,Duration,3.6790,1.8240,14.4170,14.0480,30.0000,8.0000
4,Smartphone,SpeechPct,7.5500,4.3229,85.1000,87.5620,30.0000,8.0000
5,Headset,ASL,2.4720,12.9584,-24.6570,-36.2012,19.0000,11.0000
5,Headset,Duration,2.9870,2.0013,16.4400,15.4240,19.0000,11.0000
5,Headset,SpeechPct,5.4500,8.7438,84.2000,80.8447,19.0000,11.0000
5,Laptop,ASL,1.8180,7.7034,-23.5620,-19.5862,25.0000,4.0000
5,Laptop,Duration,2.0080,1.6267,15.4110,15.9360,25.0000,4.0000
5,Laptop,SpeechPct,4.5000,4.5203,87.4000,70.1645,25.0000,4.0000
5,Smartphone,ASL,4.6710,3.0076,-23.0940,-23.1815,53.0000,6.0000
5,Smartphone,Duration,2.5150,1.6107,15.2930,13.8453,53.0000,6.0000
5,Smartphone,SpeechPct,3.8000,2.9445,87.7000,98.4666,53.0000,6.0000
6,Headset,ASL,2.3455,14.4721,-24.3530,-35.4003,27.0000,11.0000
6,Headset,Duration,4.1520,1.5040,14.2970,14.2080,27.0000,11.0000
6,Headset,SpeechPct,5.4500,11.6273,85.4000,84.2878,27.0000,11.0000
6,Laptop,ASL,2.2845,,-23.5870,,47.0000,
6,Laptop,Duration,4.7235,,14.3480,,47.0000,
6,Laptop,SpeechPct,5.4000,,83.8000,,47.0000,
6,Smartphone,ASL,6.8890,3.1452,-23.4320,-17.5744,24.0000,10.0000
6,Smartphone,Duration,2.6780,1.3760,14.2220,14.0373,24.0000,10.0000
6,Smartphone,SpeechPct,7.3750,3.4541,85.6000,96.4535,24.0000,10.0000
7,Headset,ASL,2.6210,10.9011,-23.6260,-30.7748,29.0000,12.0000
7,Headset,Duration,5.1970,1.5200,13.8420,13.8560,29.0000,12.0000
7,Headset,SpeechPct,9.7000,6.6601,87.4000,83.3476,29.0000,12.0000
7,Laptop,ASL,1.8882,,-23.7650,,44.0000,
7,Laptop,Duration,4.4335,,14.7360,,44.0000,
7,Laptop,SpeechPct,6.5000,,85.6000,,44.0000,
7,Smartphone,ASL,5.3880,2.8854,-26.4060,-20.1097,23.0000,9.0000
7,Smartphone,Duration,2.0200,1.7707,14.2980,13.0987,23.0000,9.0000
7,Smartphone,SpeechPct,7.4000,4.1882,86.2000,92.4445,23.0000,9.0000
8,Headset,ASL,2.1640,13.7385,-23.9290,-31.5664,14.0000,12.0000
8,Headset,Duration,5.3985,2.1173,15.9255,14.8373,14.0000,12.0000
8,Headset,SpeechPct,7.2500,8.0500,85.7000,87.7953,14.0000,12.0000
8,Laptop,ASL,2.2980,,-23.1600,,29.0000,
8,Laptop,Duration,2.7250,,16.2260,,29.0000,
8,Laptop,SpeechPct,6.9000,,86.4000,,29.0000,
8,Smartphone,ASL,5.8365,0.9416,-22.3250,-17.6092,51.0000,9.0000
8,Smartphone,Duration,2.9275,1.2800,16.1710,14.5493,51.0000,9.0000
8,Smartphone,SpeechPct,5.3500,5.0803,87.2000,96.2270,51.0000,9.0000
9,Headset,ASL,2.8110,10.0029,-22.7170,-36.7162,12.0000,13.0000
9,Headset,Duration,1.6320,1.3013,9.5050,15.2320,12.0000,13.0000
9,Headset,SpeechPct,6.2500,15.4741,78.2000,83.6594,12.0000,13.0000
9,Laptop,ASL,2.1690,,-23.4310,,31.0000,
9,Laptop,Duration,1.8630,,9.7260,,31.0000,
9,Laptop,SpeechPct,5.3000,,80.3000,,31.0000,
9,Smartphone,ASL,4.9690,4.3808,-20.8280,-20.7731,53.0000,8.0000
9,Smartphone,Duration,1.7720,2.7520,9.4200,13.6320,53.0000,8.0000
9,Smartphone,SpeechPct,6.0000,7.1815,80.2000,93.7354,53.0000,8.0000
